 Blood Bank Name, State, District, Address,Pincode, Mobile, Email, Website, Category, Blood Component Available, Latitude, Longitude
Hi-Tech Medical College & Hospital Blood Bank,Odisha,KHORDHA,"Pandra,Rasulgarh,Bhubaneshwar",751025,,bloodbankhitech@gmail.com,,Charity,YES,20.300484,85.877272
Sum Hospital Blood Bank,Odisha,KHORDHA,"K-8, Kalinga Nagar ",751003,,bloodbanksumhospital768@gmail.com,,Private,YES,20.283391,85.769625
Kalinga Institute of Medical Sciences (KIMS) Blood Bank,Odisha,KHORDHA,"NALCO Nagar, Chandrasekharpur",751023,,bloodbank@kalingahospital.com,http://www.kalingahospital.com/,Private,YES,20.353379,85.814853
AMRI Hospital Blood Bank,Odisha,KHORDHA,"Plot No. 1, Near Jayadev Vatika Park, Khandagiri, ",751030,,amri.bhu@amrihospitala.in,,Private,YES,20.260166,85.777769
"Odisha Red Cross Blood Bank, Khurda",Odisha,KHORDHA,"District Head Quarter Hospital, CDMO Campus, At/Po/Dt-Khordha
",752055,9437286660,rcbbkhurda@gmail.com,,Government,NO,20.0553881,84.9466673
NALCO Hospital Blood Bank,Odisha,KORAPUT,"Sector 3, Damanjodi",764020,N/A,,,Private,,18.760347,82.9011261
"Red Cross Blood Bank, SDH, Koraputk",Odisha,KORAPUT,"Sub Divisional Hospital, Sardar Patel Marg",764001,9778545750,bloodbankjeypore@gmail.com,,Government,NO,18.863146,82.572509
"Odisha Red Cross Blood Bank, Koraput",Odisha,KORAPUT,"District Head Quarter Hospital, Janiguda",764020,9938413345,bloodbankkoraput@gmail.com,,Government,NO,18.805606,82.705017
Asha Kiran Society Blood Bank,Odisha,KORAPUT,"Lamtaput, Koraput",764081,"09438551844, 09438637409",hospital@ashakiran.in,http://www.ashakiran.in/,Charity,NO,18.599153,82.601739
HAL Hospital Blood Bank,Odisha,KORAPUT,"Sunabeda, Koraput",763002,,halhospitalbloodbank@yahoo.com,,Government,NO,18.729641,82.8215279
"Odisha Red Cross Blood Bank, Malkangiri",Odisha,MALKANGIRI,"District Head quarters Hospita Malkangiri, ",764048,9439523056,bbmalkangiri@gmail.com,,Government,NO,18.581971,82.075923
"Odisha Red Cross Blood Bank, Baripada",Odisha,MAYURBHANJ,"District Head Quarters Hospital Baripada, Mayurbhanj",757001,9937745972,bbbaripada@gmail.com,,Government,NO,21.931231,86.727842
"Odisha red Cross Blood Bank, Karanjia, Mayurbhanj",Odisha,MAYURBHANJ,"Sub Divisional Hospital, Karanjia (Post), Mayurbhanj",757037,9437570485,bbkaranjia@gmail.com,,Charity,NO,21.764292,85.973327
"Odisha Red Cross Blood Bank, SDH, Rairangpur",Odisha,MAYURBHANJ,"Sub-Divisional Hspital, Rairangpur ",757043,9438083560,bloodbankrairangpur@gmail.com,,Government,NO,22.2692759,86.1564211
"Odisha Red Cross Blood Bank, SDH, Udala",Odisha,MAYURBHANJ,"Sub Divisional Hospital, Udala, Mayurbhanj",757041,9438463520,bbudala23@gmail.com,,Government,NO,21.576557,86.565098
"Odisha Red Cross Blood Bank, Nabarangpur",Odisha,NABARANGPUR,"District Head Quarter Hospital, Miriganiguda",764059,9437269986,orcbb.nabarangpur@gmail.com,,Government,NO,19.22886,82.56679
Christian Hospital Blood Bank Nabarangpur,Odisha,NABARANGPUR,"Christian Hospital, Nabarangpur, Mission Compound",764059,9437095066,christianhospital1952@gmail.com,,Charity,NO,19.2392509,82.547666
"Odisha Red Cross Blood Bank, Nayagarh ",Odisha,NAYAGARH,District Head Quarter Hospital Nayagarh,752069,9437189479,nayagarehbloodbank@gmail.com,,Government,NO,20.128058,85.107413
Evangelical Hospital Blood Bank,Odisha,NUAPADA,"Gadramunda, Khariar",766107,"09668429249, 09668648114",ehkhariar@rediffmail.com,,Charity,NO,20.3088467,82.7417943
"Odisha Red Cross Blood Bank, Nuapada",Odisha,NUAPADA,"District Headquarter Hospital, Nuapada",766105,9437292867,bbnuapada@gmail.com,,Government,NO,20.808848,82.534107
Aharya Harihar Red Cross Blood Bank,Odisha,PURI,"District Head Quarters Hospital, Grand Road ",752001,9861067545,puribloodbank@yahoo.com,,Charity,NO,19.814381,85.829648
Christian Hospital Blood Bank,Odisha,RAYAGADA,"Bissam Cuttack, Rayagada",765019,9439758855,chb.orissa@gmail.com,,Charity,NO,19.516658,83.506689
"Odisha Red Cross Blood bank, SDH, Gunupur",Odisha,RAYAGADA,"sub- Divisional Hospital Gunupur, SDH Campus",765001,8596985766,gunupurbloodbank@gmail.com,,Government,NO,19.071552,83.809261
District Head Quarters Hospital Blood Bank Rayagada,Odisha,RAYAGADA,"District Head Quarters Hospital, Rayagada",765001,9437234642,bbrayagada@gmail.com,,Government,NO,0,0
Jesus Mary Hospital Blood Bank,Odisha,SAMBALPUR,"Barapali, Sambalpur",768029,N/A,,,Private,NO,21.497281,83.969962
"Odisha Red Cross Blood Bank, SDH, Kuchinda ",Odisha,SAMBALPUR,"Sub Divisional Hospital Kuchinda, Sambalpur",768222,9668062862,redcrossbloodbankkcd@gmail.com,,Charity,NO,21.745975,84.350757
Odisha Red Cross Blood Bank Sambalpur,Odisha,SAMBALPUR,"District Head Quarter Hospital, Pani Tanki Road, Modipada (Post), Sambalpur",768002,9437352858,orcbbsambalpur@gmail.com,,Government,YES,21.473765,83.974011
"Odisha Red Cross Blood Bank, SDH, Rairakhol",Odisha,SAMBALPUR,"Sub Divisional Hospital Rairakhol, Sambalpur",768106,,orcbbrairakhol@gmail.com,,Government,NO,0,0
VSS Medical College and Hospital Blood Bank,Odisha,SAMBALPUR," VSS Medical College Hospital, Burla
Opposite to PG Hospital, VSS, MC Burla",768017,9439536922,vssmchburla@gmail.com,,Government,YES,21.501094,83.884655
"Odisha Red Cross Blood Bank, Subarnapur",Odisha,SONEPUR,"District Headquarters Hospital Sonepur, Hospital Road, Near fire station",767017,9437715956,bbo.sonepur@gmail.com,,Government,NO,20.843647,83.907
"Odisha Red Cross Blood Bank, Rourkela",Odisha,Sundergarh,"Rourkela Government Hospital Campus, Rourkela, PO- Uditnagr, S.T.I Chowk",769004,9437117223,bbrourkela@gmail.com,,Government,NO,22.264089,84.865108
"Immuno-Haematology & Blood Transfusion Centre, Rourkela",Odisha,Sundergarh,"ISPAT General Hospital, Steel Authority of India ltd. Rourkela Steel Plant, Sector - 19",769005,8895501126,bbighrourkela@gmail.com,,Government,YES,22.2640892,84.8651084
Vesaj Patel Hospital and Research Center Blood Bank,Odisha,Sundergarh,"Vesaj Patel Hosp and Research Center, Rourkela",769004,N/A,,,Private,NO,22.2265275,84.821447
Community Welfare Society Hospital Blood Bank,Odisha,Sundergarh,"Jagda, Rourkela",769042,,cwsrkle@yahoo.in,,Charity,NO,22.255332,84.900917
Hi-Tech Medical college & Hospital Blood Bank,Odisha,Sundergarh,"Near Hanuman Vatika, R.G.H Campus",769004,9090952348,vbctmchrourkela@yahoo.com,,Charity,NO,22.223584,84.8296273
"Odisha Red Cross Blood Bank, SDH, Bonai ",Odisha,Sundergarh,"Sub Divisional Hospital Bonai, Bonaigarh",770038,9437117223,rcbbbonai@gmail.com,,Government,NO,21.819928,84.956534
"Odisha Red Cross Blood Bank, Sundergarh",Odisha,Sundergarh,"District Headquarter Hospital Premises, Sundargarh",770001,9437250012,bbsundargarh@gmail.com,,Government,NO,22.118256,84.036159
Karaikal Government General Hospital Blood Bank,Puducherry,KARAIKAL,"Kamarajar Salai Government Hospital, Puducherry       ",609602,9360082577,bloodbankkkl@yahoo.co.in,,Government,NO,10.917635,79.836804
Sri Venkateshwara Medical College Hospital and Research Centre,Puducherry,Puducherry,"13-A, Pondy-Vellupuram Main Road, Sugar Factory - Parry, Ariyur",605102,9443602759,bloodbank06@svmcpondy.com,,Private,YES,11.903661,79.701071
Pondicherry Private Hospital Association (PPHA) Blood Bank,Puducherry,Puducherry,"No: 84, Main Road, Chellan Nagar, Puducherry",605011,2211686,N/A,pphabloodbank@gmail.com,MBBS,Private,,0,0
Pondicherry Institute of Medical Sciences Blood Bank,Puducherry,Puducherry,"Kalathumettupathai, Ganapathichettikulam, Village No. 20
Kalapet, Puducherry ",605 014,N/A,bloodbank@pimsmmm.net,http://www.pimsmmm.com,Private,YES,12.046974,79.854738
Sri Manakula Vinayagar Medical College Hospital Blood Bank,Puducherry,Puducherry,"Kalitheerthalkuppam, Madagadipet, Puducherry",605107,N/A,bloodbank@smvmch.ac.in,http://www.smvmch.ac.in,Charity,YES,11.921612,79.62821
Vinayaka Missions Medical College and Hospital Blood Bank,Puducherry,Puducherry,"Keezhakasakudimedu, Kottucherry Post,  Karaikal, Puducherry ",609609,"09443203118, 09677594873",bloodbank@vmmckkl.com,http://www.vmmckkl.com,Charity,YES,10.955396,79.847776
Mahe Government General Hospital Blood Bank,Puducherry,Puducherry,"Govt General Hospital, Mahe, Puducherry",673310,N/A,ictc.ghm@gmail.com,,Government,NO,0,0
Mahatma Gandhi Medical College and Research Institute,Puducherry,Puducherry,"Pondy-Cuddalore Main Road, Pillaiyarkuppam
Puducherry",607402,N/A,donateblood@mgmcri.ac.in,http://www.mgmcri.ac.in,Charity,YES,11.811867,79.778314
Aarupadai Veedu Medical College Blood Bank,Puducherry,Puducherry,"East Coast Road, Kirumampakkam, Pondy Cuddalore Road
Puducherry",607402,N/A,bloodbank.avmc@gmail.com,http://www.avmcpondy.com,Private,YES,11.831098,79.783102
Indhira Gandhi Goverment General Hospital Blood Bank ,Puducherry,Puducherry,"1,RVE Victor Simonel Street, Adjucent to Assembly",605001,9872803453,vadhika94420@gmail.com,,Government,YES,11.931847,79.83303
Jawahar Institute of Post Graduate Medical Education & Research (JIPMER) Hospital Blood Bank,Puducherry,Puducherry,"80, OPD Block, Second Floor, Dhanvantari Nagar, Gorimedu Near Gorimedu Check post",605006,N/A,bloodbank.jipmer@gmail.com,http://www.jipmer.edu.in,Government,YES,11.954602,79.797995
St. Joseph&#39,s Hospital (Cluny)  Blood Bank,Puducherry,Puducherry,"St.Joseph&#39;s Hospital cluny, 16, Romain Rolland Street, Puducherry",0413 225571,N/A,clunybloodbank@gmail.com,MBBS,Charity,1/12/2017,11.930442,79.834177
Sri Lakshminarayana Institute of Medical Sciences Blood Bank,Puducherry,Puducherry,"Osudu Agaram Village, Villianur Commune, Kudapakkam
Post, Opposite Oostheri Lake",605502,N/A,rddocp@yahoo.com,http://www.slims.ac.in,Charity,YES,11.938014,79.737529
INDIRA GANDHI MEDICAL COLLEGE & RESEARCH INSTITUTE ( BLOOD BANK),Puducherry,Puducherry,"225,First Floor, Vazhudavur Road, Kathirkamam",605009,9.44307543509443E+020,igmcribloodbankpdy@gmail.com,http://www.Igmcri.com,Government,NO,11.939856,79.79624
East Coast Hospitals Blood Bank,Puducherry,Puducherry,"No 1, Perambai Road, Paris Nagar, Moolakulam,  Near Vasantha Raja Theatre",605010,N/A,lab.speciality@gmail.com,http://www.eastcoasthospital.com,Private,NO,11.930089,79.77957
Rajiv Gandhi Government Women and Child Hospital Blood Bank,Puducherry,Puducherry,"Iyyanar Kovil, Victor Simonal Street, 100 Feet Road
Puducherry",605009,N/A,,http://www.healthpuducherry.com,Government,NO,11.93782,79.806917
A.G. Padmavathi Hospital Blood Bank,Puducherry,Puducherry,"R.S. 127/1A, Villianur Main Road, Arumparthapuram, Oulgaret, Near Adhithiya School",605110,N/A,bloodbank68@gmail.com,,Private,YES,11.92318,79.777662
Yanam Old Age Home Blood Bank,Puducherry,Puducherry,"D.no:7-4-055, Old Rajeev Nagar, River bank, Yanam",533464,8842324933,yoah.eb.bb@gmail.com,,Charity,NO,16.729453,82.216893
Ajnala Civil Hospital Blood bank,Punjab,AMRITSAR,"Fatehgarh Churian Road, Near Main Chowk",143102,,chajnala@yahoo.com,,Government,NO,31.8091472,74.26834
Sri Guru Ram Das Institute of Medical Sciences and Research Blood bank,Punjab,AMRITSAR,"Mehta Road, PO Vallah",143501,,sgrdbloodbank@gmail.com,http://www.sgrdimsr.in/,Charity,YES,31.635855,74.966905
Green Avenue Blood Bank,Punjab,AMRITSAR,"644, Mcleod Road, Rani Ka Bagh",143001,"09988448829 , 09501020817 ",greenavenuebb@gmail.com,,,Private,NO,31.637056,74.856332
Anil Blood Bank,Punjab,AMRITSAR,"Inside EMC Super speciality Hospital, Green Avenue",143001,9888881873,"emchelpline@gmail.com, robintuli@yahoo.com",,Private,NO,31.643995,74.86651
Amandeep Blood Bank,Punjab,AMRITSAR," Amandeep Hospital, Model Town, Gt Road",143001,"09888910127, 09815014601","arpanajain25@gmail.com, anil_anand52@rediffmail.com",,Private,YES,31.634549,74.859014
Guru Nanak Dev Hospital Blood bank,Punjab,AMRITSAR,"Government Medical College, Majitha Road",143001,,modelbloodbankasr@gmail.com,http://www.gmc.edu.in,Government,YES,31.649955,74.883616
Adhlakha Medical Center Blood Bank,Punjab,AMRITSAR,"29-B, Race Course Road, Basant Avenue",143001,,adlakhahospital@yahoo.com,,Private,YES,31.651164,74.874725
Fortis Hospital Limited Blood Bank,Punjab,AMRITSAR,"Fortis Escort Heart and Super Speciality Institute Limited, Majitha Virka, By Pass Road",143001,9780020944,bbank.fehasr@fortishealthcare.com,http://www.fortishealthcare.com,Private,YES,31.664656,74.918134
Shri Guru Ram Das Charitable Hospital Blood Bank,Punjab,AMRITSAR,"Circular Road,Near Gurdwara Sahib Shaduin Taran Taru Road",143001,8872004286,sgrd2009@yahoo.in,http://www.sgrdimsr.in/,Charity,NO,31.615001,74.882255
Guru Tej Rasila Charitable Hospital,Punjab,AMRITSAR,"Guru Tej Rasila Charitable Hospital, Saidpura, Amritsar",143116,9779922477,NA,,Charity,,31.640206,75.180095
Jallianwala Bagh Martyr&#39,s Memorial (JBMM) Civil Hospital Blood Bank,Punjab,Amritsar,"G.T Road, Inder Palace Road, Maharaja Ranjit Singh Nagar, Hhasanpura Chowk, Hussainpura 

G.T. Road, Inder Palace Road, Ram Bagh,",0183 2534906,,bloodbankamritsar@gmail.com,MD (Pathology) ,Government,23-05-2020,31.633401,74.878894
Maharaj Sawan Singh Charitable Hospital Blood Bank,Punjab,AMRITSAR,"G.T Road, Near Bus Stand",143201,8568060853,"jr.verma54@gmail.com, dr.rk_gupta@yahoo.com",,Charity,NO,31.51633,75.288007
Barnala Civil Hospital Blood Bank ,Punjab,BARNALA,"Civil Hospital Barnala, Ram Bagh Road",148101,9501024094,ictcbnl@gmail.com,,Government,YES,30.375616,75.544877
Military Blood Bank Bathinda,Punjab,BATHINDA,"Military Blood Bank,  Bathinda",151004,9815498000,NA,,Government,NO,30.216442,74.986339
Bhathinda Civil Hospital Blood Bank ,Punjab,BATHINDA,"Mansa Road, Opposite Police Lines",151001,9417026767,bloodbankc.h.bti@gmail.com,,Government,YES,30.19344,74.947545
Max Super Speciality Hospital Blood Bank,Punjab,BATHINDA,"NH-64, Near Bathindha District Civil Hospital, Mansa Road",151001,9814909191,dr.i.b.aggarwal@maxhealthcare.com,https://www.maxhealthcare.in/hospital-network/max-super-speciality-hospital-bathinda,Private,YES,30.192388,74.946979
Adesh Institute of Medical Sciences and Research Blood Bank,Punjab,BATHINDA,"NH- 7, Barnala Road, Bhucho, Tehsil Nathana
",151101,9041782039,"msofficeaimsr@gmail.com, adeshhospitalbloodbank@adeshuniversity.in",http://www.adeshuniversity.ac.in,Private,YES,30.222218,75.058662
Gupta Hospital Blood Bank,Punjab,BATHINDA,"2/A, Power House Road, Near Jindal Heart Hospital",151001,"09815157018, 09501620619",guptabb18@gmail.com,,Private,YES,30.207465,74.950084
Rampura Phul Civil Hospital Blood Bank ,Punjab,BATHINDA,"Cinema Road, Dashmesh Nagar",151103,,sdhampurphul@gmail.com,,Government,NO,30.274566,75.235609
Guru Gobind Singh Medical College Blood Bank Hospital Blood Bank,Punjab,FARIDKOT,"Sadiq Road, Kotakpura",151203,8427099444,bloodbankggsmchfaridkot@gmail.com,http://www.ggsmch.org/,Government,YES,30.681255,74.747606
Kotkapura Civil Hospital Blood Bank,Punjab,FARIDKOT," NH15, Faridkot Road",151204,,bbkkp123@gmail.com,,Government,NO,30.584713,74.820153
Fatehgarh Sahib Civil Hospital Blood Bank,Punjab,FATEHGARH SAHIB,"Old Tehsil, Government Quarters, BBSBE College Campus
Near DC Complex",140407,"09023332075 ,0941708058",bloodbankfgs@gmail.com,,Government,YES,30.646899,76.390134
 Abohar Civil Hospital Blood Bank,Punjab,FAZILKA,"NH 15, Krishna Nagri, Near Lakarh Mandi ",152116,9888283349,smochabh@gmail.com,,Government,NO,30.141667,74.198522
Fazilka Civil Hospital Blood Bank,Punjab,FAZILKA,Railway Colony,152123,9417616211,bloodbankfazila@gmail.com,,Government,NO,30.40713,74.024688
Dr. Anil Bhaghi Memorial Hospital Blood Bank,Punjab,Ferozpur,Martyr Anil Baghi Road,152002,9814181414,"anilbaghihospital2@gmail.com, anilbaghihospital@gmail.com	",http://www.anilbaghihospital.com/,Private,NO,30.9493,74.619453
Military Hospital,Punjab,Ferozpur,"159, General Hospital, C/o 56 APO, Military Hospital
Ferozepur",152001,NA,,,Government,NO,0,0
Ferozpur Civil Hospital Blood Bank ,Punjab,Ferozpur,Housing Board Colony,152002,9855600340,bloodbankf2r@gmail.com,,Government,YES,30.952504,74.607649
Batala Civil Hospital Blood Bank ,Punjab,GURDASPUR,"308 diamond avenue, batala, Civil Hospital Rd, Dharampura Colony",143505,"09878147374, 07508177121	",smocivilhospitalbtl@gmail.com,,Government,NO,31.808527,75.215451
Gurdaspur Civil Hospital Blood Bank,Punjab,GURDASPUR,"Police Line, Near Bus Stand",143521,9815418555,bloodbankchgurdaspur@gmail.com,,Government,NO,32.040838,75.403333
Military Hospital Blood Bank,Punjab,GURDASPUR,"167, Military Hospital, Pathankot",145001,8054081441,,,Government,NO,32.249222,75.647473
Dasuya Civil Hospital Blood Bank,Punjab,HOSHIARPUR,"Hoshiarpur-Chandigarh Road, Keharvali, Dasuya
",144205,9914081657,,ictcdasuya@gmail.com,,Government,NO,31.807263,75.665537
Garhshankar Civil Hospital Blood Bank,Punjab,HOSHIARPUR,Anandpur Sahib Road,144527,9815004488,ictcgarhshankar@gmail.com,,Government,NO,31.213261,76.151158
Shivam Hospital Blood Bank,Punjab,HOSHIARPUR,"Phagwara Road, Near Railway Crossing",146001,,shivamhospital2012@gmail.com,http://www.shivamhospital.in/,Private,NO,31.520779,75.900469
Hoshiarpur Civil Hospital Blood Bank ,Punjab,HOSHIARPUR,Kamalpur,146001,,bbchhsp@gmail.com,,Government,YES,31.530807,75.899503
Bhai Ghanaiya Ji Charitable Blood Bank and Hospital,Punjab,HOSHIARPUR,"Model colony, Hoshiarpur",146001,9915460220,dilbagsingh.1971@yahoo.in,,Charity,NO,31.535364,75.901668
Indian Medical Association Blood Bank Hoshiarpur,Punjab,HOSHIARPUR,"Sud Nursing Home,Premgarh, Dhobian Wali Gali,,",146001,,naresh_sud@rediffmail.com,,Charity,NO,31.530798,75.90642
Sant Baba Rangi Ram Ji Charitable Hospital Blood Bank ,Punjab,HOSHIARPUR,"Jaja Road, Vpo - Jaja, Near Tanda
",144212,9855109807,babarangirambloodbank@gmail.com,,Charity,NO,31.675185,75.657103
Mukerian Civil Hospital Blood Bank,Punjab,HOSHIARPUR,"Model Town, Tikhowal",144211,9814868556,bloodbankmukerian@gmail.com,,Government,NO,31.950081,75.613623
Baba Budha Sabib Cardiac Centre (BBC) Heart Care & Pruthi Hospital Blood Bank,Punjab,JALANDHAR,"301, Lajpat Nagar",144001,9815343035,admin@bbcheartcare.com,http://www.bbcheartcare.com/,Private,NO,31.317437,75.57421
Jalandhar Civil Hospital,Punjab,JALANDHAR,"Near Police Station,Jyothi Chowk, Islam Ganj",144001,9814052476,sd71@rediffmail.com,,Government,YES,31.330707,75.565197
Dr. Kanwaljit Singh Grover (KSG) Memorial Blood Bank ,Punjab,JALANDHAR,"Inside New Ruby Hospital, 26 Link Road, Lajput Nagar, Jalandhar",144001,"09876708982 , 09872666177",newrubyhospitalpltd@gmail.com,http://www.newrubyhospital.com/,Charity,NO,31.3150872,75.5732243
Military Hospital ,Punjab,JALANDHAR,"Military Hospital, Jalandhar  Cantt.",144005,8130105571,,,Government,,31.2842844,75.6295921
Kidney Hospital and LifeLine Medical Institutions Blood bank,Punjab,JALANDHAR,"63 & 64 Waryam Nagar, Cool Road",144003,"09814007570, 09501024094",kidneyhospital@yahoo.com,http://www.kidneyhospital.in/,Private,NO,31.304465,75.587635
Tagore Hospital & Heart Care Center Blood Bank,Punjab,JALANDHAR,"91, Banda Bahadur Nagar, Mahavir Marg, Near Kapurthala Chowk
",144008,9872890591,tagorehospital@yahoo.com,http://www.tagorehospital.com,Private,YES,31.337046,75.563262
Ohri Hospital Blood Bank,Punjab,JALANDHAR,"Mahavir Marg, Near State Bank Of Patiala, Shaheed Udham Singh Nagar",144001,9592165252,ohrihospital@rediffmail.com,,Private,NO,31.324038,75.567511
Sacred Heart Hospital Blood Bank ,Punjab,JALANDHAR,"Grand Trunk Road, Maqsudan",144008,7696410394,shhjal@gmail.com,http://sacredhearthospitaljal.org/,Charity,NO,31.363857,75.550527
SGL Charitable Hospital Blood Bank,Punjab,JALANDHAR,"1st - 4th Floor, Garha Road, Urban Estate Part I, Guru Amardas Market, Hardyal Nagar, ",144022,"09357232032, 09876004506",sglhosp@gmail.com,http://www.sglhealthcare.org/,Charity,YES,31.301186,75.597155
Patel Hospital Private Limited Blood Bank,Punjab,JALANDHAR,"Civil Lines, Behind Hotel Skylark",144001,9876004506,gurpreet@patelhospital.com,http://patelhospital.com/,Private,YES,31.323729,75.578156
Ghai Hospital Blood Bank ,Punjab,JALANDHAR,"661, A & B, Guru Teg Bahadur Nagar,, Near Ravi Dass Chowk
",144003,9876065433,ghaihospital@yahoo.com,http://ghaihospital.com/,Private,NO,31.307531,75.567277
Shree Devi Talab Mandir Charitable Hospital Blood Bank,Punjab,JALANDHAR,"Mandir Marg, Tanda Road, Near Kusht Ashram, Near Doaba Chowk, Doaba College",144004,"09872883361, 09653413554",sdtmch@rediffmail.com,,Charity,NO,31.342787,75.581737
Joshi Hospital and Trauma Centre Blood Bank,Punjab,JALANDHAR,"Kapurthala Chowk, Near Satyam Hospital, Adarsh Nagar",144001,094170-07288,bankbloodalfa@yahoo.in,http://www.joshihospital.org/,Private,YES,31.334225,75.563308
Punjab Institute of Medical Sciences (PIMS) Blood Bank,Punjab,JALANDHAR,Garha Road,144006,8558063129,bloodbank@pimsj.com,http://pimsj.com/,Charity,YES,31.306683,75.595821
Capitol Hospital Blood Bank,Punjab,JALANDHAR,"Jalandhar-Pathankot Road, NH-44, Near Reru Chowk",144012,"09888880005, 084275-84275",capitolbloodbank@gmail.com,http://www.capitolhospital.com/,Private,YES,31.364442,75.597437
Johal Multispeciality Hospital Blood Bank,Punjab,JALANDHAR,"Hoshiarpur Road, Rama Mandi",144005,"08146570660, 09417070660        ",johalbloodbank@gmail.com,http://www.johalhospital.com,Private,NO,31.321636,75.632472
Nakodar Civil Hospital Blood Bank ,Punjab,JALANDHAR,"Hospital Rd, Amardas Colony",144040,01821 220053,smonakodar@gmail.com,,Government,NO,31.128006,75.47587
Phillaur Civil Hospital Blood Bank ,Punjab,JALANDHAR,"Abad Pura, Phillaur",144410,9814180870,ictcphillaur@gmail.com,,Government,NO,31.021583,75.790012
Kapurthala Civil Hospital Blood Bank ,Punjab,KAPURTHALA,"Civil Hospital, Kapurthala Road",144601,9417402410,ictckapurthala@gmail.com,,Government,YES,31.37571,75.381995
Phagwara Civil Hospital Blood bank,Punjab,KAPURTHALA,"NH 1, Chahal Nagar",144401,,ictcphw@gmail.com,,Government,NO,31.226118,75.76766
Kapurthala Blood Donor Council Blood bank,Punjab,KAPURTHALA,"Guru Hargobind Nagar, Blood Bank Bhawan, Phagwara
",144401,,bloodbankbhagwara@gmail.com,,Charity,NO,31.219092,75.77041
Khanna Civil Hospital Blood Bank ,Punjab,LUDHIANA,"Karnail Singh Rd, Ahluwalia Mohalla, Anant Nagar",141401,,ictcchk@yahoo.com,,Government,NO,30.703465,76.222834
Shri Guru Teg Bahadur Charitable Hospital,Punjab,LUDHIANA,"Near Gurudwara,  Guru Teg Bahadur (GTB) Nagar, Jalandhar
",141002,,gtbh1975@gmail.com,http://www.hospitalgtbjal.org/,Charity,YES,31.302247,75.572492
SNS Pahawa Charitable Hospital Blood Bank,Punjab,LUDHIANA,"Industrial Area-B, Ludhiana",141003,9876048971,,,Charity,,30.885426,75.862185
Red Cross Regional Blood Bank,Punjab,LUDHIANA,"Red Cross Bhavan, The Mall Road, Near Rakh Bagh",141001,,rcbbldh@gmail.com,,Government,NO,30.907375,75.841051
Dayanand Medical College & Hospital Blood Bank,Punjab,LUDHIANA,"Rajpura Road, Near Rose Garden, Tagore Nagar, Civil Lines",141001,,"bloodbankdmch@gmail.com, drkumarrajesh71@gmail.com",http://www.dmch.edu,Charity,YES,30.916089,75.835767
Christian Medical College and Brown Memorial Hospital Blood Bank,Punjab,LUDHIANA,"CMC Chowk, Brown road",141008,,bloodbankcmc@gmail.com,http://cmcludhiana.in/cmc_2014/,Charity,YES,30.91067,75.863458
Mohan Dai Oswal Cancer Treatment & Research Foundation Blood Bank,Punjab,LUDHIANA,"Grand Trunk Rd, Sherpur Khurd Colony, Parbhat Nagar, Balsingh Nagar",141009,9815418555,bloodbank@mohandaioswalhospital.com,http://mohandaioswalhospital.com/,Charity,YES,30.890496,75.884942
Ludhiana Civil Hospital Blood Bank ,Punjab,LUDHIANA,"Field Ganj Road, CMC Campus",141008,080545 01443,bloodbank64@yahoo.com,,Government,YES,30.906634,75.859678
Dr. B.L. Kapoor Memorial Hospital Blood Bank,Punjab,LUDHIANA,"Sabzi Mandi Road, G.T.Road, Old Sabzi Mandi, Dal Bazar",141008,"09814098338, 09888822244",komalb075@gmail.com,http://www.blkapurhospital.com/,Private,NO,30.920492,75.849864
Deepak Memorial Hospital Blood Bank,Punjab,LUDHIANA,"Opposite Gate No 1, PAU, Sarabha Nagar",141001,8872420136,,info.deepakhospital@gmail.com,,Charity,NO,30.892357,75.811069
Shri Krishna Charitable Hospital Blood Bank,Punjab,LUDHIANA,"Pritm Nagar, Model Town",141002,9814868556,"shrikrishnahospitalludhiana@gmail.com, sudarshanbbsindia@gmail.com",,Charity,YES,30.888281,75.845858
Fortis Hospital Blood Bank ,Punjab,LUDHIANA,"6kms from Samrala Chowk, Chandigarh Road, Mundian Kalan Village, Near Radha Soami Satsang Bhavan,",141015,7087431444,bloodbank.ldh@fortishealthcare.com,http://www.fortishealthcare.com/india/hospitals-in-punjab/fortis-hospital-ludhiana#.VNCFkFR7jUY,Private,YES,30.889292,75.935144
Satguru Pratap Singh Hospital (SPS) Blood Bank,Punjab,LUDHIANA,"Grand Trunk Rd, Sherpur Chowk, Sherpur",141001,088720 27036,"hitishnarang@gmail.com, info@spshospitals.com",http://www.spshospitals.com/,Private,YES,30.883346,75.887705
Deep Nursing Home and Children Hospital Blood Bank,Punjab,LUDHIANA,"Plot No.481, Model Town Rd, Model Town, Near Mint Gumri Chowk",141002,9878408331,bloodbank_deephospital@rediffmail.com,,,Private,YES,30.88946,75.837507
Shree Ragunath Hospital Blood Bank,Punjab,LUDHIANA,"Aggar Nagar - B Block, Aggar Nagar",141012,"09814023815, 09815491587","bhupinderk2000@yahoo.co.in, rkbansalldh@yahoo.co.in",,Charity,YES,30.888778,75.795876
Civil Hospital Samrala,Punjab,LUDHIANA,Samrala ,141114,8146570660,,,Government,,0,0
Mansa Civil Hospital Blood Bank ,Punjab,MANSA,"Water Works Road, Civil Hospital",151505,,bloodbanksmansa@gmail.com,,Government,YES,29.985368,75.40316
